Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,storey_midpoint,address,Tranc_Year,Tranc_Month,flat_type_model
2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,232000.0,11,"406, ANG MO KIO AVE 10",2017,1,2 ROOM Improved
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,250000.0,2,"108, ANG MO KIO AVE 4",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,262000.0,2,"602, ANG MO KIO AVE 5",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,265000.0,5,"465, ANG MO KIO AVE 10",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,265000.0,2,"601, ANG MO KIO AVE 5",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,275000.0,2,"150, ANG MO KIO AVE 5",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,280000.0,5,"447, ANG MO KIO AVE 10",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,285000.0,5,"218, ANG MO KIO AVE 1",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,285000.0,5,"447, ANG MO KIO AVE 10",2017,1,3 ROOM New Generation
2017-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,285000.0,2,"571, ANG MO KIO AVE 3",2017,1,3 ROOM New Generation
