Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,storey_midpoint,address,Tranc_Year,Tranc_Month,flat_type_model
2018-01,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,250000.0,11,"314, ANG MO KIO AVE 3",2018,1,2 ROOM Improved
2018-01,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,240000.0,2,"109, ANG MO KIO AVE 4",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,240000.0,2,"150, ANG MO KIO AVE 5",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,242000.0,2,"559, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,461,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,255000.0,11,"461, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1984,255000.0,5,"466, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,152,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,258000.0,5,"152, ANG MO KIO AVE 5",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,10 TO 12,73.0,New Generation,1978,260000.0,11,"348, ANG MO KIO AVE 3",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,260000.0,2,"503, ANG MO KIO AVE 5",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,265000.0,5,"557, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,01 TO 03,68.0,New Generation,1981,265000.0,2,"178, ANG MO KIO AVE 4",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,265000.0,5,"602, ANG MO KIO AVE 5",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,273000.0,5,"333, ANG MO KIO AVE 1",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,04 TO 06,74.0,New Generation,1978,285000.0,5,"107, ANG MO KIO AVE 4",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,295000.0,5,"560, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,505,ANG MO KIO AVE 8,04 TO 06,68.0,New Generation,1980,298000.0,5,"505, ANG MO KIO AVE 8",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,300000.0,5,"319, ANG MO KIO AVE 1",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,10 TO 12,68.0,New Generation,1981,300000.0,11,"333, ANG MO KIO AVE 1",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,10 TO 12,67.0,New Generation,1980,305000.0,11,"533, ANG MO KIO AVE 5",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 6,04 TO 06,67.0,New Generation,1979,308000.0,5,"124, ANG MO KIO AVE 6",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1978,312000.0,8,"128, ANG MO KIO AVE 3",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,01 TO 03,82.0,New Generation,1979,320000.0,2,"443, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,10 TO 12,74.0,New Generation,1978,320000.0,11,"107, ANG MO KIO AVE 4",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,644,ANG MO KIO AVE 4,04 TO 06,75.0,New Generation,1980,320000.0,5,"644, ANG MO KIO AVE 4",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1977,328000.0,8,"319, ANG MO KIO AVE 1",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,328000.0,8,"473, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,07 TO 09,82.0,New Generation,1979,330000.0,8,"405, ANG MO KIO AVE 10",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,01 TO 03,68.0,New Generation,1980,330000.0,2,"504, ANG MO KIO AVE 8",2018,1,3 ROOM New Generation
2018-01,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,10 TO 12,73.0,New Generation,1977,335000.0,11,"255, ANG MO KIO AVE 4",2018,1,3 ROOM New Generation
